,atlas,classifier,dataset,iter_shuffle_split,measure,n_regions,scores,dimensionality
333,aal_spm12,svc_l1,COBRE,12,correlation,NA,0.553125,117
334,aal_spm12,svc_l2,COBRE,12,correlation,NA,0.771875,117
335,aal_spm12,ridge,COBRE,12,correlation,NA,0.778125,117
336,aal_spm12,svc_l1,COBRE,12,partial correlation,NA,0.40625,117
337,aal_spm12,svc_l2,COBRE,12,partial correlation,NA,0.7,117
338,aal_spm12,ridge,COBRE,12,partial correlation,NA,0.7,117
339,aal_spm12,svc_l1,COBRE,12,tangent,NA,0.56875,117
340,aal_spm12,svc_l2,COBRE,12,tangent,NA,0.79375,117
341,aal_spm12,ridge,COBRE,12,tangent,NA,0.790625,117
342,basc_scale122,svc_l1,COBRE,12,correlation,NA,0.753125,122
343,basc_scale122,svc_l2,COBRE,12,correlation,NA,0.834375,122
344,basc_scale122,ridge,COBRE,12,correlation,NA,0.84375,122
345,basc_scale122,svc_l1,COBRE,12,partial correlation,NA,0.584375,122
346,basc_scale122,svc_l2,COBRE,12,partial correlation,NA,0.759375,122
347,basc_scale122,ridge,COBRE,12,partial correlation,NA,0.759375,122
348,basc_scale122,svc_l1,COBRE,12,tangent,NA,0.6875,122
349,basc_scale122,svc_l2,COBRE,12,tangent,NA,0.8125,122
350,basc_scale122,ridge,COBRE,12,tangent,NA,0.8125,122
351,ho_cort_symm_split,svc_l1,COBRE,13,correlation,NA,0.740625,96
352,ho_cort_symm_split,svc_l2,COBRE,13,correlation,NA,0.7,96
353,ho_cort_symm_split,ridge,COBRE,13,correlation,NA,0.690625,96
354,ho_cort_symm_split,svc_l1,COBRE,13,partial correlation,NA,0.55,96
355,ho_cort_symm_split,svc_l2,COBRE,13,partial correlation,NA,0.6375,96
356,ho_cort_symm_split,ridge,COBRE,13,partial correlation,NA,0.634375,96
357,ho_cort_symm_split,svc_l1,COBRE,13,tangent,NA,0.6125,96
358,ho_cort_symm_split,svc_l2,COBRE,13,tangent,NA,0.78125,96
359,ho_cort_symm_split,ridge,COBRE,13,tangent,NA,0.78125,96
360,aal_spm12,svc_l1,COBRE,13,correlation,NA,0.759375,117
361,aal_spm12,svc_l2,COBRE,13,correlation,NA,0.70625,117
362,aal_spm12,ridge,COBRE,13,correlation,NA,0.70625,117
363,aal_spm12,svc_l1,COBRE,13,partial correlation,NA,0.490625,117
364,aal_spm12,svc_l2,COBRE,13,partial correlation,NA,0.796875,117
365,aal_spm12,ridge,COBRE,13,partial correlation,NA,0.796875,117
366,aal_spm12,svc_l1,COBRE,13,tangent,NA,0.59375,117
367,aal_spm12,svc_l2,COBRE,13,tangent,NA,0.825,117
