,atlas,classifier,dataset,dimensionality,iter_shuffle_split,measure,n_regions,scores
293,basc_scale122,ridge,ABIDE,122,10,partial correlation,,[ 0.61556845]
294,basc_scale122,svc_l1,ABIDE,122,10,tangent,,[ 0.56768522]
295,basc_scale122,svc_l2,ABIDE,122,10,tangent,,[ 0.64382042]
296,basc_scale122,ridge,ABIDE,122,10,tangent,,[ 0.6421987]
297,ho_cort_symm_split,svc_l1,ABIDE,96,11,correlation,,[ 0.59055992]
298,ho_cort_symm_split,svc_l2,ABIDE,96,11,correlation,,[ 0.64228406]
299,ho_cort_symm_split,ridge,ABIDE,96,11,correlation,,[ 0.60592352]
300,ho_cort_symm_split,svc_l1,ABIDE,96,11,partial correlation,,[ 0.58842608]
301,ho_cort_symm_split,svc_l2,ABIDE,96,11,partial correlation,,[ 0.62367702]
302,ho_cort_symm_split,ridge,ABIDE,96,11,partial correlation,,[ 0.62453056]
303,ho_cort_symm_split,svc_l1,ABIDE,96,11,tangent,,[ 0.60745988]
304,ho_cort_symm_split,svc_l2,ABIDE,96,11,tangent,,[ 0.72115056]
305,ho_cort_symm_split,ridge,ABIDE,96,11,tangent,,[ 0.71679754]
306,aal_spm12,svc_l1,ABIDE,117,11,correlation,,[ 0.64638102]
307,aal_spm12,svc_l2,ABIDE,117,11,correlation,,[ 0.68231478]
308,aal_spm12,ridge,ABIDE,117,11,correlation,,[ 0.68043701]
309,aal_spm12,svc_l1,ABIDE,117,11,partial correlation,,[ 0.61659269]
310,aal_spm12,svc_l2,ABIDE,117,11,partial correlation,,[ 0.6180437]
311,aal_spm12,ridge,ABIDE,117,11,partial correlation,,[ 0.62051895]
312,aal_spm12,svc_l1,ABIDE,117,11,tangent,,[ 0.60037555]
313,aal_spm12,svc_l2,ABIDE,117,11,tangent,,[ 0.73839194]
314,aal_spm12,ridge,ABIDE,117,11,tangent,,[ 0.73711164]
315,basc_scale122,svc_l1,ABIDE,122,11,correlation,,[ 0.66908501]
316,basc_scale122,svc_l2,ABIDE,122,11,correlation,,[ 0.71389553]
317,basc_scale122,ridge,ABIDE,122,11,correlation,,[ 0.7018607]
318,basc_scale122,svc_l1,ABIDE,122,11,partial correlation,,[ 0.59542506]
319,basc_scale122,svc_l2,ABIDE,122,11,partial correlation,,[ 0.69281325]
320,basc_scale122,ridge,ABIDE,122,11,partial correlation,,[ 0.69580061]
321,basc_scale122,svc_l1,ABIDE,122,11,tangent,,[ 0.69213042]
322,basc_scale122,svc_l2,ABIDE,122,11,tangent,,[ 0.75947422]
323,basc_scale122,ridge,ABIDE,122,11,tangent,,[ 0.76288836]
324,ho_cort_symm_split,svc_l1,ABIDE,96,12,correlation,,[ 0.56896552]
